Test,Accuracy,Precision,Recall,F1 Score
1,0.7919,0.73,0.79,0.73
2,0.7502,0.72,0.75,0.74
3,0.7981,0.64,0.8,0.71
4,0.7983,0.76,0.8,0.71
5,0.7981,0.64,0.8,0.71
6,0.7989,0.77,0.8,0.71
7,0.7924,0.73,0.79,0.73
8,0.7985,0.75,0.8,0.71
9,0.7979,0.74,0.8,0.72
10,0.7978,0.74,0.8,0.72
11,0.7981,0.64,0.8,0.71
12,0.7982,0.77,0.8,0.71
13,0.751,0.73,0.75,0.74
14,0.7981,0.64,0.8,0.71
15,0.7983,0.77,0.8,0.71
16,0.798,0.74,0.8,0.72
17,0.7983,0.76,0.8,0.71
18,0.7983,0.75,0.8,0.71
19,0.7967,0.74,0.8,0.73
20,0.7903,0.73,0.79,0.73
21,0.7981,0.64,0.8,0.71
